bodyType;brand;color;fuelType;modelDate;name;numberOfDoors;productionDate;vehicleConfiguration;vehicleTransmission;engineDisplacement;enginePower;description;mileage;Комплектация;Привод;Руль;Состояние;Владельцы;ПТС;Таможня;Владение;id;price;model
седан ;BMW ;синий ;дизель ;G30/G31 (2016—н. в.) ;520d 2.0 xDrive Steptronic (190 л.с.) ;4;2020;None;None;None;None;None;None;M Sport ;полный ;левый ;None;None;None;None;None;None;3 520 000;5 серия 
None;BMW ;синий ;бензин ;F15 (2013—2018) ;35i 3.0 xDrive Steptronic (306 л.с.) ;5;2016;None;автомат ;None;None;None;56000 км ;Pure Excellence ;полный ;левый ;не битый ;1;None;None;None;None;2 540 000;X5 
None;BMW ;чёрный ;дизель ;G30/G31 (2016—н. в.) ;520d 2.0 xDrive Steptronic (190 л.с.) ;4;2019;None;автомат ;None;None;None;29833 км ;Base ;полный ;левый ;не битый ;1;None;None;None;None;2 575 000;5 серия 
внедорожник ;BMW ;белый ;дизель ;G01 (2017—н. в.) ;20d 2.0 xDrive Steptronic (190 л.с.) ;5;2020;None;None;None;None;None;None;Urban ;полный ;левый ;None;None;None;None;None;None;2 990 000;X3 
None;BMW ;чёрный ;дизель ;F16 (2014—н. в.) ;30d 3.0 AT (249 л.с.) ;5;2016;None;автомат ;None;None;None;103000 км ;None;полный ;левый ;не битый ;1;None;None;None;None;3 100 000;X6 
None;BMW ;чёрный ;дизель ;F26 (2014—2018) ;20d 2.0 xDrive AT (190 л.с.) ;5;2015;None;автомат ;None;None;None;101701 км ;None;полный ;левый ;не битый ;2;None;None;None;None;1 590 000;X4 
None;BMW ;голубой ;дизель ;F25 (2010—2014) ;20d 2.0 xDrive AT (184 л.с.) ;5;2014;None;автомат ;None;None;None;93168 км ;Базовая ;полный ;левый ;не битый ;1;None;None;None;None;1 437 000;X3 
None;BMW ;синий ;бензин ;E46 (1998—2003) ;325i 2.5 AT (192 л.с.) ;2;2002;None;автомат ;None;None;None;173000 км ;Базовая ;задний ;левый ;не битый ;4+ ;None;None;None;None;515 000;3 серия 
None;BMW ;чёрный ;бензин ;E71 (2007—2012) ;35i 3.0 AT (306 л.с.) ;5;2008;None;автомат ;None;None;None;170000 км ;Базовая ;полный ;левый ;не битый ;1;None;None;None;None;935 000;X6 
None;BMW ;чёрный ;дизель ;F10/F11 (2009—2013) ;530d 3.0 xDrive AT (258 л.с.) ;4;2012;None;автомат ;None;None;None;142000 км ;None;полный ;левый ;не битый ;3;None;None;None;None;1 450 000;5 серия 
None;BMW ;чёрный ;бензин ;E71 рестайлинг (2012—2014) ;35i 3.0 AT (306 л.с.) ;5;2013;None;автомат ;None;None;None;112000 км ;Базовая ;полный ;левый ;не битый ;1;None;None;None;None;1 499 000;X6 
None;BMW ;серебряный ;бензин ;E90/E91/E92/E93 (2005—2010) ;325i 2.5 AT (218 л.с.) ;4;2006;None;автомат ;None;None;None;203000 км ;Базовая ;задний ;левый ;не битый ;3;None;None;None;None;410 000;3 серия 
None;BMW ;чёрный ;бензин ;F25 (2010—2014) ;20i 2.0 xDrive AT (184 л.с.) ;5;2014;None;автомат ;None;None;None;42390 км ;Базовая ;полный ;левый ;не битый ;1;None;None;None;None;1 400 000;X3 
None;BMW ;синий ;дизель ;E71 (2007—2012) ;40d 3.0 AT (306 л.с.) ;5;2010;None;автомат ;None;None;None;75000 км ;Базовая ;полный ;левый ;не битый ;2;None;None;None;None;1 489 000;X6 
None;BMW ;красный ;бензин ;E81/E82/E87/E88 рестайлинг (2007—2011) ;116i 1.6 AT (115 л.с.) ;5;2008;None;автомат ;None;None;None;270000 км ;Базовая ;задний ;левый ;не битый ;1;None;None;None;None;480 000;1 серия 
None;BMW ;чёрный ;бензин ;E38 рестайлинг (1998—2001) ;740i 4.4 AT (286 л.с.) ;4;1999;None;автомат ;None;None;None;96000 км ;Базовая ;задний ;левый ;не битый ;4+ ;None;None;None;None;125 000;7 серия 
None;BMW ;серый ;бензин ;E39 (1995—2000) ;523i 2.5 MT (170 л.с.) ;4;1998;None;механика ;None;None;None;369855 км ;Базовая ;задний ;левый ;не битый ;4+ ;None;None;None;None;240 000;5 серия 
None;BMW ;серый ;дизель ;F16 (2014—н. в.) ;30d 3.0 AT (249 л.с.) ;5;2017;None;автомат ;None;None;None;31400 км ;Luxury ;полный ;левый ;не битый ;1;None;None;None;None;5 120 000;X6 
